ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2011-01-31,173.5,180.92,173.01,177.99,173.34,4.65,2.68,32442.43,577621.803
600519.SH,2011-02-01,178.0,181.85,177.5,180.28,177.99,2.29,1.29,17758.46,319648.6
600519.SH,2011-02-09,179.99,180.81,177.0,177.96,180.28,-2.32,-1.29,17675.31,317003.717
600519.SH,2011-02-10,177.35,185.99,177.3,185.03,177.96,7.07,3.97,36008.75,656695.297
600519.SH,2011-02-11,184.74,188.45,184.29,184.93,185.03,-0.1,-0.05,34001.41,634257.226
600519.SH,2011-02-14,184.93,188.0,183.9,187.11,184.93,2.18,1.18,36639.15,681621.6429999999
600519.SH,2011-02-15,187.11,188.8,184.8,185.24,187.11,-1.87,-1.0,29716.4,554140.6429999999
600519.SH,2011-02-16,185.01,185.99,181.7,183.68,185.24,-1.56,-0.84,36440.18,667440.837
600519.SH,2011-02-17,183.0,183.7,180.83,181.26,183.68,-2.42,-1.32,36363.8,662075.9789999999
600519.SH,2011-02-18,180.8,185.45,180.3,181.98,181.26,0.72,0.4,36828.73,676343.235
600519.SH,2011-02-21,182.0,184.8,181.2,183.48,181.98,1.5,0.82,27289.85,498811.37100000004
600519.SH,2011-02-22,183.48,185.25,181.0,181.88,183.48,-1.6,-0.87,38293.8,701713.0059999999
600519.SH,2011-02-23,181.11,183.47,181.11,182.76,181.88,0.88,0.48,19422.29,353816.777
600519.SH,2011-02-24,182.58,183.47,181.12,182.15,182.76,-0.61,-0.33,20476.31,373539.56899999996
600519.SH,2011-02-25,182.88,182.88,179.2,179.62,182.15,-2.53,-1.39,29413.43,532482.186
600519.SH,2011-02-28,179.3,179.46,176.0,178.68,179.62,-0.94,-0.52,39093.1,693295.724
600519.SH,2011-03-01,178.71,179.93,177.8,178.64,178.68,-0.04,-0.02,23059.41,411728.226
600519.SH,2011-03-02,178.2,179.0,176.01,177.21,178.64,-1.43,-0.8,32095.5,569125.294
600519.SH,2011-03-03,177.27,178.69,174.75,175.0,177.21,-2.21,-1.25,37735.09,663456.221
600519.SH,2011-03-04,175.0,176.78,174.5,175.93,175.0,0.93,0.53,33351.19,587411.61
600519.SH,2011-03-07,175.84,177.53,175.84,177.38,175.93,1.45,0.82,33553.69,593119.911
600519.SH,2011-03-08,177.43,177.6,174.8,176.72,177.38,-0.66,-0.37,31869.55,560058.561
600519.SH,2011-03-09,177.49,178.2,176.05,177.99,176.72,1.27,0.72,22971.46,406818.00299999997
600519.SH,2011-03-10,177.97,184.2,177.38,182.0,177.99,4.01,2.25,54492.13,991540.447
600519.SH,2011-03-11,181.6,183.4,179.89,180.04,182.0,-1.96,-1.08,23345.45,424871.79600000003
600519.SH,2011-03-14,179.52,184.0,179.11,182.88,180.04,2.84,1.58,22372.98,408383.265
600519.SH,2011-03-15,181.64,183.22,177.03,179.27,182.88,-3.61,-1.97,30898.55,554199.756
600519.SH,2011-03-16,179.6,182.97,179.31,181.84,179.27,2.57,1.43,24176.24,438681.96200000006
600519.SH,2011-03-17,180.9,189.53,180.18,189.03,181.84,7.19,3.95,88522.77,1653009.378
600519.SH,2011-03-18,189.55,194.1,187.13,191.15,189.03,2.12,1.12,61484.07,1175141.41
600519.SH,2011-03-21,189.8,190.98,184.55,187.13,191.15,-4.02,-2.1,48651.24,910057.839
600519.SH,2011-03-22,188.38,189.98,185.2,185.75,187.13,-1.38,-0.74,27887.55,521369.66299999994
600519.SH,2011-03-23,186.01,186.69,183.5,186.54,185.75,0.79,0.43,42881.85,792668.1
600519.SH,2011-03-24,186.3,186.55,183.5,183.55,186.54,-2.99,-1.6,21353.18,393924.33700000006
600519.SH,2011-03-25,183.0,185.58,183.0,183.43,183.55,-0.12,-0.07,27905.52,513404.256
600519.SH,2011-03-28,183.55,184.4,180.49,180.91,183.43,-2.52,-1.37,40295.87,731053.0190000001
600519.SH,2011-03-29,181.0,181.3,178.5,178.95,180.91,-1.96,-1.08,26523.3,476995.781
600519.SH,2011-03-30,178.94,180.26,178.3,178.71,178.95,-0.24,-0.13,20602.99,368964.875
600519.SH,2011-03-31,178.71,182.8,178.5,179.85,178.71,1.14,0.64,17525.86,316949.399
600519.SH,2011-04-01,179.98,181.35,178.55,179.46,179.85,-0.39,-0.22,18227.49,326554.075
600519.SH,2011-04-06,179.4,179.9,176.71,176.98,179.46,-2.48,-1.38,28774.81,510620.63700000005
600519.SH,2011-04-07,176.2,177.0,174.78,174.94,176.98,-2.04,-1.15,46830.74,820484.804
600519.SH,2011-04-08,174.96,176.5,174.8,175.66,174.94,0.72,0.41,21823.15,383817.086
600519.SH,2011-04-11,175.45,178.65,175.11,177.49,175.66,1.83,1.04,26173.14,463960.29799999995
